time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-28T05:45:09.480Z,19.0201,-65.216,30,3.15,md,7,274,0.9823,0.31,pr,pr2017240012,2017-08-28T09:46:19.435Z,"79km N of Culebra, Puerto Rico",earthquake,3.26,20.87,0.11,6,reviewed,pr,pr
2017-08-28T05:44:10.950Z,19.0211,-65.2408,27,2.89,md,12,267,0.9699,0.19,pr,pr2017240004,2017-08-28T06:32:17.386Z,"79km N of Culebra, Puerto Rico",earthquake,1.64,15.93,0.1,7,reviewed,pr,pr
2017-08-28T05:41:59.460Z,19.0111,-65.2111,19,3.18,md,15,253,0.9755,0.32,pr,pr2017240006,2017-08-28T07:18:51.488Z,"78km N of Culebra, Puerto Rico",earthquake,3.13,7.36,0.25,13,reviewed,pr,pr
2017-08-28T05:40:34.230Z,18.9731,-65.2086,14,3.16,md,16,250,0.9409,0.37,pr,pr2017240003,2017-08-28T06:12:29.331Z,"74km N of Culebra, Puerto Rico",earthquake,2.64,5.78,0.21,12,reviewed,pr,pr
2017-08-28T05:35:29.050Z,18.998,-65.1736,29,2.65,md,3,288,0.9772,0.04,pr,pr2017240013,2017-08-28T09:56:57.667Z,"77km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.21,8.5,0.05,3,reviewed,pr,pr
2017-08-28T05:26:34.790Z,18.9863,-65.2091,34,2.93,md,4,286,0.9531,0.24,pr,pr2017240011,2017-08-28T08:54:57.157Z,"76km N of Culebra, Puerto Rico",earthquake,3.67,16.079,0.11,4,reviewed,pr,pr
2017-08-28T05:04:47.780Z,18.9506,-65.2108,7,3.48,md,14,249,0.9192,0.42,pr,pr2017240002,2017-08-28T05:36:16.356Z,"72km N of Culebra, Puerto Rico",earthquake,3.47,3.36,0.21,11,reviewed,pr,pr
2017-08-28T04:33:01.090Z,18.9551,-65.1923,39,2.84,md,3,289,0.9304,0.29,pr,pr2017240009,2017-08-28T08:46:12.453Z,"73km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.24,21.58,0.16,3,reviewed,pr,pr
2017-08-28T04:29:42.313Z,58.2603,-138.0368,2.9,3.3,ml,,,,0.77,ak,ak16722747,2017-08-28T06:33:15.967Z,"135km W of Gustavus, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2017-08-28T04:01:52.210Z,43.3079,17.7138,10,4,mb,,30,1.436,0.79,us,us2000acd8,2017-08-28T12:34:52.221Z,"6km SW of Ilici, Bosnia and Herzegovina",earthquake,5.1,1.4,0.367,2,reviewed,us,us
